x," ""training"""," ""validation"""
1,24.4178137,35.12
2,42.26504963,50
3,53.41818764,59.14
4,60.07244637,66.01
5,65.06764329,68.07
6,68.96613833,73.3
7,72.13416587,75.48
8,74.30755684,77.13
9,76.05467499,78.52
10,77.68772014,79.47
11,78.54827089,77.68
12,79.69300352,80.99
13,80.3113993,82.11
14,81.01785142,82.38
15,81.74631764,82.61
16,82.07853026,83.18
17,82.95709254,83.09
18,83.1492155,82.46
19,83.57949087,83.93
20,83.72358309,83.75
21,84.41802754,84.18
22,84.68019533,84.21
23,84.92635287,85.47
24,85.17451169,84.38
25,85.56476145,84.35
26,85.76689081,85.25
27,86.15714057,85.02
28,86.21717899,85.65
29,86.39729427,84.87
30,86.49735831,84.68
31,86.7595261,85.61
32,86.79554915,86.32
33,86.95365034,86.05
34,87.38792827,85.82
35,87.56003842,86.36
36,87.41394492,85.73
37,87.78418188,85.26
38,87.66610631,85.71
39,87.83021134,87
40,88.21245597,87.02
41,88.22846622,87.01
42,88.42058918,87.43
43,88.46261607,87.39
44,88.58069164,86.95
45,88.57869036,87.68
46,88.89689401,86.89
47,88.9089017,87.52
48,88.93291707,87.2
49,88.85086455,87.3
50,89.25912584,87.15
51,89.17507205,87.58
52,89.24511687,87.42
53,89.28514249,87.59
54,89.27113353,86.86
55,89.52929875,88.26
56,89.44924752,88.01
57,89.57532821,87.57
58,89.78346142,88.36
59,89.76544989,87.66
60,89.77745757,87.85
61,89.9835895,87.61
62,90.22974704,87.76
63,90.02361511,87.64
64,89.96157541,86.96
65,90.00160102,87.37
66,90.30779699,87.61
67,90.129683,87.56
68,90.14369196,88.31
69,90.3798431,87.9
70,90.51192763,87.98
71,90.38184438,88.61
72,90.57396734,87.89
73,90.39385207,88.01
74,90.72806596,88.05
75,90.61199167,88
76,90.57396734,88.39
77,90.77009286,88.48
78,90.83813641,88.93
79,90.58397374,88.71
80,90.91418508,87.74
81,90.69204291,88.72
82,90.74607749,88.32
83,90.76408902,88.64
84,91.00824528,88.41
85,90.99823887,88.25
86,91.10630804,88.39
87,91.07028498,88.4
88,91.15033622,88.03
89,91.18836055,88.24
90,91.33245277,88.07
91,91.03626321,88.19
92,91.10230548,88.34
93,91.29042587,88.52
94,91.08029139,88.75
95,91.20036824,88.32
96,91.55659622,88.71
97,91.48254883,88.45
98,91.28842459,89.05
99,91.65065642,89.03
100,91.51056676,88.63
101,91.42451169,88.34
102,91.60462696,89.36
103,91.34846302,89.18
104,91.43251681,87.86
105,91.61463337,89.28
106,91.72870637,89.34
107,91.56059878,89.1
108,91.66066282,87.93
109,91.59261928,88.33
110,91.81476145,88.47
111,91.89481268,88.81
112,91.55459494,88.31
113,92.01088697,88.96
114,91.86279219,88.57
115,91.94284342,88.65
116,91.86279219,88.23
117,91.89481268,88.64
118,92.08293308,89.21
119,91.98086776,88.87
120,91.85478706,88.71
121,92.07292667,89.32
122,92.00488313,88.04
123,92.03490234,89.41
124,91.94884726,88.97
125,92.01689081,87.82
126,91.95084854,89.13
127,92.07893052,89.13
128,92.31107909,89.39
129,92.05891771,89.36
130,91.82877041,89.52
131,92.19300352,88.62
132,92.42114954,88.84
133,92.21902017,88.75
134,92.40113673,89.78
135,92.06892411,88.59
136,92.21101505,89.31
137,92.36911623,88.58
138,92.20100865,89.56
139,92.31908421,89.56
140,92.33509446,90.03
141,92.34309958,89.74
142,92.39113032,89.43
143,92.58725584,89.06
144,92.55723663,88.71
145,92.60526737,89.02
